RPS27A	GO:1902036;GO:0006283;GO:0007254;GO:0051092;GO:0019083;GO:0000187;GO:0002755;GO:0003723;GO:0075733;GO:0000184;GO:0002756;GO:0030666;GO:0051403;GO:0006296;GO:0034220;GO:0006294;GO:0044322;GO:0006297;GO:0006457;GO:0005886;GO:0005634;GO:0005515;GO:0031625;GO:0003735;GO:0046872;GO:0031982;GO:0035666;GO:0070628;GO:0000717;GO:0022627;GO:0000715;GO:0038095;GO:0043123;GO:0042276;GO:0043488;GO:0005730;GO:0045944;GO:0060544;GO:0002223;GO:0000165;GO:0070062;GO:0019221;GO:0016197;GO:0019068;GO:0019985;GO:0038128;GO:0016236;GO:0050852;GO:0070987;GO:0016579;GO:0055085;GO:0000209;GO:0005741;GO:0007249;GO:0043657;GO:0005615;GO:0005978;GO:0005737;GO:0010803;GO:0019058;GO:0010008;GO:0015935;GO:0030512;GO:0036297;GO:0007179;GO:0008543;GO:0061418;GO:0006364;GO:0042059;GO:0005789;GO:0006879;GO:0035635;GO:0005829;GO:0016055;GO:0010972;GO:0032480;GO:0090263;GO:1901796;GO:0038061;GO:0006413;GO:0006412;GO:0033209;GO:0043161;GO:0007219;GO:0031145;GO:0031146;GO:0031386;GO:0070911;GO:1904380;GO:0016567;GO:0032479;GO:0043209;GO:0033683;GO:0045742;GO:0045746;GO:0005654;GO:0000122;GO:0000086;GO:0006614;GO:0006977;GO:0070423;GO:0060071;GO:0019941;GO:0061024;GO:0042769;GO:0044267;GO:0090090;GO:0043066;GO:0045087;GO:0016020;GO:0043065;GO:0070498
GCC1	GO:0005515;GO:0005829;GO:0000139;GO:0005794;GO:0005886
MAP1B	GO:0014069;GO:0015631;GO:0036477;GO:0005198;GO:0043025;GO:0045202;GO:0042995;GO:0005875;GO:0001750;GO:0005874;GO:0097441;GO:0030425;GO:0097440;GO:0001764;GO:0047497;GO:0007409;GO:0043197;GO:0005829;GO:0032387;GO:0030424;GO:0031114;GO:0016358;GO:0061162;GO:0045773;GO:0000226;GO:0005886;GO:0009987;GO:0008017;GO:0001578;GO:0005515;GO:0003779;GO:0048675;GO:0097457;GO:0030054
OR14C36	GO:0004930;GO:0005549;GO:0007186;GO:0007608;GO:0016021;GO:0050911;GO:0004984;GO:0005886
OR14L1P	GO:0004930;GO:0005549;GO:0007186;GO:0007608;GO:0016021;GO:0050911;GO:0004984;GO:0005886
OR14A16	GO:0004930;GO:0005549;GO:0007186;GO:0007608;GO:0016021;GO:0050911;GO:0004984;GO:0005886
OR10J5	GO:0098664;GO:0005887;GO:0004930;GO:0030425;GO:0007187;GO:0016021;GO:0030594;GO:0007268;GO:0050911;GO:0004993;GO:0004984;GO:0005886
RNF215	GO:0046872;GO:0016021
MTMR8	GO:0005635;GO:0004438;GO:0005515;GO:0004725;GO:0005737;GO:0010506;GO:0052629;GO:0005829;GO:0006661;GO:0035335;GO:0046856
PRPF38B	GO:0008380;GO:0003723;GO:0005515;GO:0071011;GO:0006397
FNDC7	GO:0005576
DDIT4L	GO:0005515;GO:0009968;GO:0005737
FAM241B	GO:0005515;GO:0016021
LRRC8B	GO:0005789;GO:0015698;GO:0005515;GO:0055085;GO:0098656;GO:0005737;GO:0007165;GO:0034702;GO:0005886;GO:0005225
E2F4	GO:0000978;GO:0006366;GO:0002064;GO:0044458;GO:0045944;GO:0006884;GO:0005654;GO:0005667;GO:0001077;GO:0003700;GO:0006977;GO:1990841;GO:0000083;GO:0098534;GO:0019904;GO:1903251;GO:0008015;GO:0046983;GO:0008134;GO:0042127;GO:0000981;GO:0009887;GO:0003677;GO:0000790;GO:0005515
OR5K1	GO:0004930;GO:0005549;GO:0007186;GO:0007608;GO:0016021;GO:0050911;GO:0004984;GO:0005886
REL	GO:0034097;GO:0043123;GO:0000977;GO:0006366;GO:0038061;GO:1901215;GO:0001205;GO:0003682;GO:0007249;GO:0045944;GO:0000981;GO:0005654;GO:0000122;GO:0000980;GO:0005634;GO:0005667;GO:0010629;GO:0003700;GO:0006954;GO:0005515;GO:0045087;GO:0005829;GO:0033256;GO:0032688
CCDC126	GO:0016020;GO:0006487;GO:0005794;GO:0030144;GO:0005576
AKAP8	GO:0007076;GO:0031065;GO:0044839;GO:0015031;GO:0003690;GO:0005794;GO:0005730;GO:0071380;GO:0000278;GO:0005654;GO:0003723;GO:0032720;GO:0008270;GO:0042826;GO:0006351;GO:0007165;GO:0006355;GO:0000793;GO:0051059;GO:0005634;GO:0005515;GO:0071222;GO:0045087;GO:0005739;GO:0016020;GO:0034237;GO:0016363;GO:0001939;GO:0033127
AGA	GO:0006517;GO:0005615;GO:0006508;GO:0003948;GO:0005783;GO:0043312;GO:0051604;GO:0008233;GO:0005576;GO:0043621;GO:0035578;GO:0005764
FLYWCH2	GO:0008150;GO:0003723;GO:0005575
SRRD	GO:0048511
RCN3	GO:0005788;GO:0005515;GO:0005509
ZC3H7B	GO:0010608;GO:0035198;GO:0005634;GO:0003723;GO:0005515;GO:0046872;GO:0035196;GO:0016032
CACNG7	GO:0032281;GO:0005891;GO:0099590;GO:0005245;GO:0005886;GO:0061337;GO:0098970;GO:0098943;GO:0006816;GO:0070588;GO:2000311;GO:0051968;GO:0019226;GO:0016247;GO:0098839
OR1F12	GO:0004930;GO:0004888;GO:0007186;GO:0050907;GO:0016021;GO:0050911;GO:0004984;GO:0005886
BLCAP	GO:0005515;GO:0030262;GO:0016021;GO:0007049
OR2W6P	GO:0004930;GO:0007186;GO:0007608;GO:0016021;GO:0050911;GO:0004984;GO:0005886
TBKBP1	GO:0005515;GO:0045087;GO:0016032
OR2AE1	GO:0004930;GO:0007186;GO:0007608;GO:0016021;GO:0050911;GO:0004984;GO:0005886
RPS6KL1	GO:0005524;GO:0005737;GO:0007165;GO:0004674;GO:0005840;GO:0006468
FAM98B	GO:0042802;GO:0008276;GO:0008284;GO:0006388;GO:0006479;GO:0005654;GO:0005634;GO:0003723;GO:0005515;GO:0005737;GO:0010628;GO:0043231;GO:0072669
CYP2R1	GO:0006082;GO:0016712;GO:0010164;GO:0036378;GO:0042738;GO:0016705;GO:0008395;GO:0006766;GO:0031090;GO:0020037;GO:0042359;GO:0005789;GO:0005506;GO:0005737;GO:0043231;GO:0006805;GO:0030343;GO:0055114;GO:0010212
SNCB	GO:0042417;GO:0046914;GO:0050808;GO:1903136;GO:0007268;GO:0045202;GO:0043524;GO:0043086;GO:0005509;GO:0004859;GO:0005829;GO:0010038;GO:0016234
MUC17	GO:0019725;GO:0005515;GO:0009897;GO:0016021;GO:0030165;GO:0030197;GO:0016266;GO:0005576;GO:0005796;GO:0005886;GO:0016324;GO:0002223
HIST2H2BF	GO:0003677;GO:0005634;GO:0070062;GO:0046982;GO:0005829;GO:0000786;GO:0003674;GO:0006334;GO:0005654
SLC2A6	GO:0005887;GO:0016020;GO:0055056;GO:0016021;GO:1902600;GO:0005351;GO:0046323;GO:0035428;GO:0005355;GO:0005886;GO:0008645
CACFD1	GO:0008150;GO:0005515;GO:0016192;GO:0016021;GO:0005575;GO:0003674
RPL41	GO:0002181;GO:0006364;GO:0022625;GO:0006413;GO:0003730;GO:0006412;GO:0042788;GO:0019083;GO:0003723;GO:0006614;GO:0000184;GO:0003735;GO:0048027;GO:0005829
TRAPPC2B	GO:0005634;GO:0006888;GO:0048471;GO:0006351;GO:0043231;GO:0005783;GO:0005793;GO:0005654
