# Columns:
#
# unip_acc: Uniprot accession number
# unip_id: Uniprot identifier  
# source: Source of the transcriptions factor classification
#
#unip_acc	unip_id	source
Q9H4S2	GSX1_HUMAN	Vaquerizas et al.
Q9H4Q4	PRD12_HUMAN	Vaquerizas et al.
Q9H4Q3	PRD13_HUMAN	Vaquerizas et al.
Q9H4I2	ZHX3_HUMAN	Vaquerizas et al.
Q9H3D4	P63_HUMAN	Vaquerizas et al.
Q9H334	FOXP1_HUMAN	Vaquerizas et al.
Q9H2Z4	NKX24_HUMAN	Vaquerizas et al.
Q9H2W2	MIXL1_HUMAN	Vaquerizas et al.
Q9H2S9	IKZF4_HUMAN	Vaquerizas et al.
Q9H2P0	ADNP_HUMAN	Vaquerizas et al.
Q9H2C1	LHX5_HUMAN	Vaquerizas et al.
Q9H165	BC11A_HUMAN	Vaquerizas et al.
Q9H161	ALX4_HUMAN	Vaquerizas et al.
Q9H116	GZF1_HUMAN	Vaquerizas et al.
Q9H0M5	ZN700_HUMAN	Vaquerizas et al.
Q9H0D2	ZN541_HUMAN	Vaquerizas et al.
Q9GZZ0	HXD1_HUMAN	Vaquerizas et al.
Q9GZX5	ZN350_HUMAN	Vaquerizas et al.
Q9GZV8	PRD14_HUMAN	Vaquerizas et al.
Q9GZU2	PEG3_HUMAN	Vaquerizas et al.
Q9C0K0	BC11B_HUMAN	Vaquerizas et al.
Q9C0J9	BHE41_HUMAN	Vaquerizas et al.
Q9C0G0	ZN407_HUMAN	Vaquerizas et al.
Q9C0F3	ZN436_HUMAN	Vaquerizas et al.
Q9C0A1	ZFHX2_HUMAN	Vaquerizas et al.
Q9C056	NKX62_HUMAN	Vaquerizas et al.
Q9C009	FOXQ1_HUMAN	Vaquerizas et al.
Q9BZS1	FOXP3_HUMAN	Vaquerizas et al.
Q9BZM3	GSX2_HUMAN	Vaquerizas et al.
Q9BZI1	IRX2_HUMAN	Vaquerizas et al.
Q9BZE3	BARH1_HUMAN	Vaquerizas et al.
Q9BZE0	GLIS2_HUMAN	Vaquerizas et al.
Q9BYV9	BACH2_HUMAN	Vaquerizas et al.
Q9BYU1	PBX4_HUMAN	Vaquerizas et al.
Q9BYN7	ZN341_HUMAN	Vaquerizas et al.
Q9BYE7	PCGF6_HUMAN	Vaquerizas et al.
Q9BYE0	HES7_HUMAN	Vaquerizas et al.
Q9BXK1	KLF16_HUMAN	Vaquerizas et al.
Q9BXA9	SALL3_HUMAN	Vaquerizas et al.
Q9BX82	ZN471_HUMAN	Vaquerizas et al.
Q9BWX5	GATA5_HUMAN	Vaquerizas et al.
Q9BWW7	SCRT1_HUMAN	Vaquerizas et al.
Q9BWM5	ZN416_HUMAN	Vaquerizas et al.
Q9BW11	MAD3_HUMAN	Vaquerizas et al.
Q9BVI0	PHF20_HUMAN	Vaquerizas et al.
Q9BV97	ZN747_HUMAN	Vaquerizas et al.
Q9BUY5	ZN426_HUMAN	Vaquerizas et al.
Q9BUG6	ZSA5A_HUMAN	Vaquerizas et al.
Q9BU19	ZN692_HUMAN	Vaquerizas et al.
Q9BT81	SOX7_HUMAN	Vaquerizas et al.
Q9BSK1	ZN577_HUMAN	Vaquerizas et al.
Q9BSG1	ZNF2_HUMAN	Vaquerizas et al.
Q9BS34	ZN670_HUMAN	Vaquerizas et al.
Q9BS31	ZN649_HUMAN	Vaquerizas et al.
Q9BRR0	ZKSC3_HUMAN	Vaquerizas et al.
Q9BRP0	OVOL2_HUMAN	Vaquerizas et al.
Q9BRH9	ZN251_HUMAN	Vaquerizas et al.
Q9BR84	ZN559_HUMAN	Vaquerizas et al.
Q9BQY4	RHXF2_HUMAN	Vaquerizas et al.
Q9BQW3	COE4_HUMAN	Vaquerizas et al.
Q9BQA5	HINFP_HUMAN	Vaquerizas et al.
Q9BQ70	TCF25_HUMAN	Vaquerizas et al.
Q99958	FOXC2_HUMAN	Vaquerizas et al.
Q99941	ATF6B_HUMAN	Vaquerizas et al.
Q99929	ASCL2_HUMAN	Vaquerizas et al.
Q99856	ARI3A_HUMAN	Vaquerizas et al.
Q99853	FOXB1_HUMAN	Vaquerizas et al.
Q99814	EPAS1_HUMAN	Vaquerizas et al.
Q99811	PRRX2_HUMAN	Vaquerizas et al.
Q99801	NKX31_HUMAN	Vaquerizas et al.
Q99743	NPAS2_HUMAN	Vaquerizas et al.
Q99742	NPAS1_HUMAN	Vaquerizas et al.
Q99717	SMAD5_HUMAN	Vaquerizas et al.
Q99697	PITX2_HUMAN	Vaquerizas et al.
Q99687	MEIS3_HUMAN	Vaquerizas et al.
Q99684	GFI1_HUMAN	Vaquerizas et al.
Q99676	ZN184_HUMAN	Vaquerizas et al.
